profile,milestone,reached,players,completion_rate,mean_wall_seconds_reached,p10_wall_seconds_reached,p50_wall_seconds_reached,p90_wall_seconds_reached,p50_attended_seconds_reached
"longer_scaled_encounters/cautious","three_surges","3","3","1.0","10387.1666666666","133.559999999997","134.999999999997","24741.6399999999","134.999999999997"
"longer_scaled_encounters/cautious","well_3","1","3","0.33333333333333","61930.4999999846","61930.4999999846","61930.4999999846","61930.4999999846","4330.49999999931"
"longer_scaled_encounters/cautious","boss","1","3","0.33333333333333","62051.2999999832","62051.2999999832","62051.2999999832","62051.2999999832","4451.29999999966"
"longer_scaled_encounters/cautious","all_core_research","3","3","1.0","15653.2000000006","3785.22000000008","15385.3000000001","27628.3400000014","985.300000000097"
"longer_scaled_encounters/balanced","first_extraction","3","3","1.0","149.633333333329","144.019999999996","153.299999999995","153.779999999995","153.299999999995"
"longer_scaled_encounters/balanced","first_research","3","3","1.0","164.633333333329","159.019999999996","168.299999999995","168.779999999995","168.299999999995"
"longer_scaled_encounters/balanced","passive_income","3","3","1.0","149.633333333329","144.019999999996","153.299999999995","153.779999999995","153.299999999995"
"longer_scaled_encounters/balanced","fan","3","3","1.0","164.633333333329","159.019999999996","168.299999999995","168.779999999995","168.299999999995"
"longer_scaled_encounters/balanced","well_2","3","3","1.0","740.499999999992","396.080000000018","545.600000000044","1162.87999999995","545.600000000044"
"longer_scaled_encounters/balanced","specialization","3","3","1.0","408.233333333348","287.059999999995","373.700000000011","543.220000000037","373.700000000011"
"longer_scaled_encounters/balanced","three_surges","3","3","1.0","149.633333333329","144.019999999996","153.299999999995","153.779999999995","153.299999999995"
"longer_scaled_encounters/balanced","well_3","2","3","0.66666666666667","19534.7999999925","4775.27999999856","19534.7999999925","34294.3199999865","3334.8000000009"
"longer_scaled_encounters/balanced","boss","2","3","0.66666666666667","19697.5999999918","4981.59999999827","19697.5999999918","34413.5999999852","3497.60000000098"
"longer_scaled_encounters/balanced","all_core_research","3","3","1.0","569.56666666671","375.380000000012","382.100000000014","838.740000000088","382.100000000014"
"longer_scaled_encounters/risk_seeking","first_extraction","3","3","1.0","316.766666666675","227.359999999995","321.200000000005","404.400000000022","321.200000000005"
"longer_scaled_encounters/risk_seeking","first_research","3","3","1.0","326.766666666675","237.359999999995","331.200000000005","414.400000000022","331.200000000005"
"longer_scaled_encounters/risk_seeking","passive_income","3","3","1.0","316.766666666675","227.359999999995","321.200000000005","404.400000000022","321.200000000005"
"longer_scaled_encounters/risk_seeking","fan","3","3","1.0","326.766666666675","237.359999999995","331.200000000005","414.400000000022","331.200000000005"
"longer_scaled_encounters/risk_seeking","well_2","3","3","1.0","688.133333333413","584.940000000057","753.900000000092","765.020000000097","753.900000000092"
"longer_scaled_encounters/risk_seeking","specialization","3","3","1.0","326.766666666675","237.359999999995","331.200000000005","414.400000000022","331.200000000005"
"longer_scaled_encounters/risk_seeking","three_surges","3","3","1.0","316.766666666675","227.359999999995","321.200000000005","404.400000000022","321.200000000005"
"longer_scaled_encounters/risk_seeking","well_3","2","3","0.66666666666667","1113.15000000007","1050.87000000012","1113.15000000007","1175.43000000003","1113.15000000007"
"longer_scaled_encounters/risk_seeking","boss","2","3","0.66666666666667","1216.29999999999","1153.18000000004","1216.29999999999","1279.41999999994","1216.29999999999"
"longer_scaled_encounters/risk_seeking","all_core_research","3","3","1.0","538.166666666714","504.78000000004","552.700000000048","565.740000000053","552.700000000048"
"economy_changes/cautious","first_extraction","3","3","1.0","115.733333333331","112.639999999998","117.599999999997","118.079999999997","117.599999999997"
"economy_changes/cautious","first_research","3","3","1.0","140.733333333331","137.639999999998","142.599999999997","143.079999999997","142.599999999997"
"economy_changes/cautious","passive_income","3","3","1.0","115.733333333331","112.639999999998","117.599999999997","118.079999999997","117.599999999997"
"economy_changes/cautious","fan","3","3","1.0","185.23333333333","142.719999999997","143.199999999997","244.559999999995","143.199999999997"
"economy_changes/cautious","well_2","3","3","1.0","314.4","246.279999999994","251.799999999994","407.560000000009","251.799999999994"
"economy_changes/cautious","specialization","3","3","1.0","551.300000000028","512.100000000026","569.300000000023","583.300000000031","569.300000000023"
"economy_changes/cautious","three_surges","3","3","1.0","294.733333333347","117.719999999997","118.199999999997","542.360000000037","118.199999999997"
"economy_changes/cautious","well_3","3","3","1.0","709.866666666719","533.880000000031","799.800000000067","849.880000000067","799.800000000067"
"economy_changes/cautious","boss","3","3","1.0","748.133333333389","578.580000000036","833.700000000069","883.460000000069","833.700000000069"
"economy_changes/cautious","all_core_research","3","3","1.0","15388.6000000001","15371.5000000001","15391.9000000001","15404.3800000001","991.900000000088"
"economy_changes/balanced","first_extraction","3","3","1.0","131.43333333333","122.659999999997","137.699999999996","137.699999999996","137.699999999996"
"economy_changes/balanced","first_research","3","3","1.0","146.43333333333","137.659999999997","152.699999999996","152.699999999996","152.699999999996"
"economy_changes/balanced","passive_income","3","3","1.0","131.43333333333","122.659999999997","137.699999999996","137.699999999996","137.699999999996"
"economy_changes/balanced","fan","3","3","1.0","146.43333333333","137.659999999997","152.699999999996","152.699999999996","152.699999999996"
"economy_changes/balanced","well_2","3","3","1.0","344.900000000009","270.459999999995","274.699999999996","447.420000000027","274.699999999996"
"economy_changes/balanced","specialization","3","3","1.0","361.733333333342","338.580000000002","366.900000000013","382.820000000015","366.900000000013"
"economy_changes/balanced","three_surges","3","3","1.0","131.43333333333","122.659999999997","137.699999999996","137.699999999996","137.699999999996"
"economy_changes/balanced","well_3","3","3","1.0","741.200000000079","478.420000000029","819.700000000092","972.580000000125","819.700000000092"
"economy_changes/balanced","boss","3","3","1.0","799.133333333418","527.100000000036","939.500000000113","1015.02000000012","939.500000000113"
"economy_changes/balanced","all_core_research","3","3","1.0","663.533333333396","606.620000000056","632.300000000054","732.940000000073","632.300000000054"
"economy_changes/risk_seeking","first_extraction","3","3","1.0","300.566666666673","211.279999999995","305.600000000001","387.840000000018","305.600000000001"
"economy_changes/risk_seeking","first_research","3","3","1.0","310.566666666673","221.279999999995","315.600000000001","397.840000000018","315.600000000001"
"economy_changes/risk_seeking","passive_income","3","3","1.0","300.566666666673","211.279999999995","305.600000000001","387.840000000018","305.600000000001"
